ESTADO,REGION
AA,NORTHEAST
AE,NORTHEAST
AK,WEST
AL,SOUTH
AP,NORTHEAST
AR,SOUTH
AZ,WEST
CA,WEST
CO,WEST
CT,NORTHEAST
DC,SOUTH
DE,SOUTH
FL,SOUTH
GA,SOUTH
HI,WEST
IA,MIDWEST
ID,WEST
IL,MIDWEST
IN,MIDWEST
KS,MIDWEST
KY,SOUTH
LA,SOUTH
MA,NORTHEAST
MD,SOUTH
ME,NORTHEAST
MI,MIDWEST
MN,MIDWEST
MO,MIDWEST
MS,SOUTH
MT,WEST
NC,SOUTH
ND,MIDWEST
NE,MIDWEST
NH,NORTHEAST
NJ,NORTHEAST
NM,WEST
NV,WEST
NY,NORTHEAST
OH,MIDWEST
OK,SOUTH
OR,WEST
PA,NORTHEAST
RI,NORTHEAST
SC,SOUTH
SD,MIDWEST
TN,SOUTH
TX,SOUTH
UT,WEST
VA,SOUTH
VT,NORTHEAST
WA,WEST
WI,MIDWEST
WV,SOUTH
WY,WEST
